Distance_m,Latitude,Longitude,Altitude_m,Slope_percent
28900,-26.697526180257512,27.66131584681413,1490.0,2.0
29000,-26.697103433476396,27.660737008913834,1492.0,0.0
29100,-26.69668068669528,27.66015817101354,1492.0,0.0
29200,-26.696257939914165,27.65957933311324,1492.0,-1.0
29300,-26.69583519313305,27.659000495212943,1491.0,0.0
29400,-26.69541244635193,27.658421657312644,1491.0,-1.0
29500,-26.694989699570815,27.65784281941235,1490.0,2.0
29600,-26.6945669527897,27.657263981512052,1492.0,-2.0
29700,-26.694144206008584,27.656685143611753,1490.0,2.0
29800,-26.69372145922747,27.656106305711457,1492.0,2.0
29900,-26.693298712446353,27.65552746781116,1494.0,0.0
30000,-26.692875965665237,27.654948629910862,1494.0,-1.0
30100,-26.692453218884122,27.654369792010566,1493.0,1.0
30200,-26.692030472103006,27.653790954110267,1494.0,0.0
30300,-26.69160772532189,27.65321211620997,1494.0,0.0
30400,-26.69118497854077,27.652633278309676,1494.0,1.0
30500,-26.690762231759656,27.652054440409376,1495.0,1.0
30600,-26.69033948497854,27.65147560250908,1496.0,-1.0
30700,-26.689916738197425,27.650896764608785,1495.0,1.0
30800,-26.68949399141631,27.650317926708485,1496.0,1.0
30900,-26.689071244635194,27.64973908880819,1497.0,0.0
31000,-26.68864849785408,27.64916025090789,1497.0,0.0
31100,-26.688225751072963,27.648581413007594,1497.0,1.0
31200,-26.687803004291847,27.6480025751073,1498.0,0.0
31300,-26.687380257510732,27.647423737207,1498.0,0.0
31400,-26.686957510729616,27.646844899306704,1498.0,0.0
31500,-26.686534763948497,27.646266061406408,1498.0,1.0
31600,-26.686112017167382,27.64568722350611,1499.0,-1.0
31700,-26.685689270386266,27.645108385605813,1498.0,1.0
31800,-26.68526652360515,27.644529547705513,1499.0,0.0
31900,-26.684843776824035,27.643950709805218,1499.0,0.0
32000,-26.68442103004292,27.64337187190492,1499.0,0.0
32100,-26.683998283261804,27.642793034004622,1499.0,0.0
32200,-26.68357553648069,27.642214196104327,1499.0,0.0
32300,-26.683152789699573,27.641635358204027,1499.0,0.0
32400,-26.682730042918458,27.64105652030373,1499.0,-1.0
32500,-26.68230729613734,27.640477682403436,1498.0,1.0
32600,-26.681884549356223,27.639898844503136,1499.0,-1.0
32700,-26.681461802575107,27.63932000660284,1498.0,1.0
32800,-26.681039055793992,27.638741168702545,1499.0,-1.0
32900,-26.680616309012876,27.638162330802245,1498.0,0.0
33000,-26.68019356223176,27.63758349290195,1498.0,-1.0
33100,-26.679770815450645,27.63700465500165,1497.0,0.0
33200,-26.67934806866953,27.636425817101355,1497.0,0.0
33300,-26.678925321888414,27.63584697920106,1497.0,0.0
33400,-26.6785025751073,27.63526814130076,1497.0,1.0
33500,-26.67807982832618,27.634689303400464,1498.0,0.0
33600,-26.677657081545064,27.634110465500168,1498.0,-1.0
33700,-26.67723433476395,27.63353162759987,1497.0,1.0
33800,-26.676811587982833,27.632952789699573,1498.0,-1.0
33900,-26.676388841201717,27.632373951799273,1497.0,0.0
34000,-26.675966094420602,27.631795113898978,1497.0,0.0
34100,-26.675543347639486,27.631216275998682,1497.0,0.0
34200,-26.67512060085837,27.630637438098383,1497.0,0.0
34300,-26.674697854077255,27.630058600198087,1497.0,0.0
34400,-26.67427510729614,27.62947976229779,1497.0,1.0
34500,-26.673852360515024,27.62890092439749,1498.0,0.0
34600,-26.673429613733905,27.628322086497196,1498.0,-1.0
34700,-26.67300686695279,27.627743248596897,1497.0,1.0
34800,-26.672584120171674,27.6271644106966,1498.0,-2.0
34900,-26.67216137339056,27.626585572796305,1496.0,0.0
35000,-26.671738626609443,27.626006734896006,1496.0,-1.0
35100,-26.671315879828327,27.62542789699571,1495.0,1.0
35200,-26.670893133047212,27.62484905909541,1496.0,0.0
35300,-26.670470386266096,27.624270221195115,1496.0,0.0
35400,-26.67004763948498,27.62369138329482,1496.0,1.0
35500,-26.669624892703865,27.62311254539452,1497.0,0.0
35600,-26.669202145922746,27.622533707494224,1497.0,0.0
35700,-26.66877939914163,27.621954869593928,1497.0,0.0
35800,-26.668356652360515,27.62137603169363,1497.0,-1.0
35900,-26.6679339055794,27.620797193793333,1496.0,0.0
36000,-26.667511158798284,27.620218355893034,1496.0,1.0
36100,-26.66708841201717,27.619639517992738,1497.0,1.0
36200,-26.666665665236053,27.619060680092442,1498.0,0.0
36300,-26.666242918454937,27.618481842192143,1498.0,-2.0
36400,-26.665820171673822,27.617903004291847,1496.0,0.0
36500,-26.665397424892706,27.61732416639155,1496.0,-1.0
36600,-26.664974678111587,27.616745328491252,1495.0,1.0
36700,-26.66455193133047,27.616166490590956,1496.0,0.0
36800,-26.664129184549356,27.615587652690657,1496.0,0.0
36900,-26.66370643776824,27.61500881479036,1496.0,-2.0
37000,-26.663283690987125,27.614429976890065,1494.0,0.0
37100,-26.66286094420601,27.613851138989766,1494.0,-1.0
37200,-26.662438197424894,27.61327230108947,1493.0,0.0
37300,-26.66201545064378,27.612693463189174,1493.0,0.0
37400,-26.661592703862663,27.612114625288875,1493.0,1.0
37500,-26.661169957081547,27.61153578738858,1494.0,0.0
37600,-26.660747210300432,27.61095694948828,1494.0,0.0
37700,-26.660324463519313,27.610378111587984,1494.0,0.0
37800,-26.659901716738197,27.60979927368769,1494.0,0.0
37900,-26.65947896995708,27.60922043578739,1494.0,1.0
38000,-26.659056223175966,27.608641597887093,1495.0,0.0
38100,-26.65863347639485,27.608062759986794,1495.0,3.0
38200,-26.658210729613735,27.607483922086498,1498.0,-3.0
38300,-26.65778798283262,27.606905084186202,1495.0,-1.0
38400,-26.657365236051504,27.606326246285903,1494.0,0.0
38500,-26.65694248927039,27.605747408385607,1494.0,-1.0
38600,-26.656519742489273,27.60516857048531,1493.0,1.0
38700,-26.656096995708154,27.604589732585012,1494.0,-2.0
38800,-26.65567424892704,27.604010894684716,1492.0,0.0
38900,-26.655251502145923,27.603432056784417,1492.0,0.0
39000,-26.654828755364807,27.60285321888412,1492.0,0.0
39100,-26.654406008583692,27.602274380983825,1492.0,-1.0
39200,-26.653983261802576,27.601695543083526,1491.0,1.0
39300,-26.65356051502146,27.60111670518323,1492.0,0.0
39400,-26.653137768240345,27.600537867282934,1492.0,0.0
39500,-26.65271502145923,27.599959029382635,1492.0,-1.0
39600,-26.652292274678114,27.59938019148234,1491.0,0.0
39700,-26.651869527896995,27.59880135358204,1491.0,1.0
39800,-26.65144678111588,27.598222515681744,1492.0,0.0
39900,-26.651024034334764,27.59764367778145,1492.0,-1.0
40000,-26.65060128755365,27.59706483988115,1491.0,0.0
40100,-26.650178540772533,27.596486001980853,1491.0,0.0
40200,-26.649755793991417,27.595907164080558,1491.0,0.0
40300,-26.649333047210302,27.595328326180258,1491.0,-1.0
40400,-26.648910300429186,27.594749488279962,1490.0,0.0
40500,-26.64848755364807,27.594170650379663,1490.0,-1.0
40600,-26.648064806866955,27.593591812479367,1489.0,1.0
40700,-26.647642060085836,27.59301297457907,1490.0,0.0
40800,-26.64721931330472,27.592434136678772,1490.0,0.0
40900,-26.646796566523605,27.591855298778476,1490.0,1.0
41000,-26.64637381974249,27.591276460878177,1491.0,2.0
41100,-26.645951072961374,27.59069762297788,1493.0,-1.0
41200,-26.64552832618026,27.590118785077586,1492.0,2.0
41300,-26.645105579399143,27.589539947177286,1494.0,3.0
41400,-26.644682832618027,27.58896110927699,1497.0,0.0
41500,-26.644260085836912,27.588382271376695,1497.0,-1.0
41600,-26.643837339055796,27.587803433476395,1496.0,-3.0
41700,-26.64341459227468,27.5872245955761,1493.0,1.0
41800,-26.64299184549356,27.5866457576758,1494.0,0.0
41900,-26.642569098712446,27.586066919775504,1494.0,0.0
42000,-26.64214635193133,27.58548808187521,1494.0,0.0
42100,-26.641723605150215,27.58490924397491,1494.0,0.0
42200,-26.6413008583691,27.584330406074614,1494.0,1.0
42300,-26.640878111587984,27.583751568174318,1495.0,1.0
42400,-26.64045536480687,27.58317273027402,1496.0,-1.0
42500,-26.640032618025753,27.582593892373723,1495.0,1.0
42600,-26.639609871244637,27.582015054473423,1496.0,1.0
42700,-26.639187124463522,27.581436216573127,1497.0,0.0
42800,-26.638764377682403,27.58085737867283,1497.0,0.0
42900,-26.638341630901287,27.580278540772532,1497.0,1.0
43000,-26.63791888412017,27.579699702872237,1498.0,0.0
43100,-26.637496137339056,27.57912086497194,1498.0,0.0
43200,-26.63707339055794,27.57854202707164,1498.0,1.0
43300,-26.636650643776825,27.577963189171346,1499.0,0.0
43400,-26.63622789699571,27.577384351271046,1499.0,0.0
43500,-26.635805150214594,27.57680551337075,1499.0,1.0
43600,-26.63538240343348,27.576226675470455,1500.0,0.0
43700,-26.634959656652363,27.575647837570155,1500.0,0.0
43800,-26.634536909871244,27.57506899966986,1500.0,2.0
43900,-26.63411416309013,27.57449016176956,1502.0,0.0
44000,-26.633691416309013,27.573911323869265,1502.0,1.0
44100,-26.633268669527897,27.57333248596897,1503.0,0.0
44200,-26.63284592274678,27.57275364806867,1503.0,1.0
44300,-26.632423175965666,27.572174810168374,1504.0,1.0
44400,-26.63200042918455,27.571595972268078,1505.0,0.0
44500,-26.631577682403435,27.57101713436778,1505.0,2.0
44600,-26.63115493562232,27.570438296467483,1507.0,-1.0
44700,-26.630732188841204,27.569859458567183,1506.0,0.0
44800,-26.63030944206009,27.569280620666888,1506.0,1.0
44900,-26.62988669527897,27.568701782766592,1507.0,1.0
45000,-26.629463948497854,27.568122944866293,1508.0,0.0
45100,-26.62904120171674,27.567544106965997,1508.0,0.0
45200,-26.628618454935623,27.5669652690657,1508.0,0.0
45300,-26.628195708154507,27.5663864311654,1508.0,0.0
45400,-26.627772961373392,27.565807593265106,1508.0,1.0
45500,-26.627350214592276,27.565228755364807,1509.0,-1.0
45600,-26.62692746781116,27.56464991746451,1508.0,0.0
45700,-26.626504721030045,27.564071079564215,1508.0,0.0
45800,-26.62608197424893,27.563492241663916,1508.0,-1.0
45900,-26.62565922746781,27.56291340376362,1507.0,-1.0
46000,-26.625236480686695,27.562334565863324,1506.0,-1.0
46100,-26.62481373390558,27.561755727963025,1505.0,-1.0
46200,-26.624390987124464,27.56117689006273,1504.0,-3.0
46300,-26.62396824034335,27.56059805216243,1501.0,0.0
46400,-26.623545493562233,27.560019214262134,1501.0,-1.0
46500,-26.623122746781117,27.559440376361838,1500.0,-2.0
46600,-26.622700000000002,27.55886153846154,1498.0,0.0
46700,-26.622277253218886,27.558282700561243,1498.0,0.0
46800,-26.62185450643777,27.557703862660944,1498.0,3.0
46900,-26.62143175965665,27.557125024760648,1501.0,-2.0
47000,-26.621009012875536,27.556546186860352,1499.0,3.0
47100,-26.62058626609442,27.555967348960053,1502.0,-3.0
47200,-26.620163519313305,27.555388511059757,1499.0,0.0
47300,-26.61974077253219,27.55480967315946,1499.0,0.0
